rentree_scolaire;uai;secteur;ips;position;appellation_officielle;libelle_academie;code_departement;libelle_departement;code_commune;libelle_commune
2023-2024;0622097T;public;81.4;50.40309660977085,2.09708054059803;Collège Jean Rostand;Lille;062;Pas-de-Calais;62050;Auchy-lès-Hesdin
2023-2024;0593683H;public;96.7;50.11479324281707,3.2157101483116572;Collège Jacques Prévert;Lille;059;Nord;59389;Masnières
2023-2024;0594168K;public;87.2;50.29266344220489,3.9204097660583948;Collège Jean Zay;Lille;059;Nord;59225;Feignies
2023-2024;0623572W;privé sous contrat;133.6;50.73675598497991,2.243659848691866;Collège privé La Malassise;Lille;062;Pas-de-Calais;62525;Longuenesse
2023-2024;0623865P;public;110.0;50.956178611815155,1.8170695183429149;Collège Louis Blériot;Lille;062;Pas-de-Calais;62774;Sangatte
2023-2024;0590109Y;public;70.6;50.29315859345641,4.105949712670817;Collège Eugène Thomas;Lille;059;Nord;59324;Jeumont
2023-2024;0590228C;public;90.8;50.07482514571605,3.341450544534616;Collège François Villon;Lille;059;Nord;59631;Walincourt-Selvigny
2023-2024;0592930P;privé sous contrat;120.4;50.739086043548625,2.7297706785714615;Collège privé Immaculée Conception;Lille;059;Nord;59043;Bailleul
2023-2024;0593668S;public;102.7;50.74973221349122,3.1268566285505814;Collège Paul Eluard;Lille;059;Nord;59508;Roncq
2023-2024;0622427B;public;113.9;50.62531607769132,2.7703600810577025;Collège du Pays de L'Alloeu;Lille;062;Pas-de-Calais;62491;Laventie
2023-2024;0594297A;public;80.3;50.412707862648475,3.0535806066000877;Collège Victor Hugo;Lille;059;Nord;59028;Auby
2023-2024;0594408W;public;74.4;50.3955694812591,3.4816293075127525;Collège Germinal;Lille;059;Nord;59491;Raismes
2023-2024;0622142S;privé sous contrat;106.5;50.70659507806732,2.1226204732822183;Collège privé Notre-Dame;Lille;062;Pas-de-Calais;62534;Lumbres
2023-2024;0622420U;public;75.0;50.39828810131777,2.838520306506523;Collège Paul Langevin;Lille;062;Pas-de-Calais;62065;Avion
2023-2024;0622871J;public;88.5;50.46188878086681,2.5449694761045163;Collège Jacques Prévert;Lille;062;Pas-de-Calais;62457;Houdain
2023-2024;0590031N;public;76.2;50.399192131331574,3.545290512818122;Collège Jean Macé;Lille;059;Nord;59112;Bruay-sur-l'Escaut
2023-2024;0590088A;public;77.2;51.020127902647296,2.3046996668512616;Collège Jules Verne;Lille;059;Nord;59271;Grande-Synthe
