rentree_scolaire;uai;secteur;ips_voie_gt;ips_voie_pro;ips_ensemble_gt_pro;position;appellation_officielle;libelle_academie;code_departement;libelle_departement;code_commune;libelle_commune
2023-2024;0622107D;privé sous contrat;130.1;;130.1;50.730330199360694,1.6181601886427732;Lycée général privé Nazareth Haffreingue;Lille;062;Pas-de-Calais;62160;Boulogne-sur-Mer
2023-2024;0592935V;privé sous contrat;141.8;;141.8;50.71990834421268,3.109499868205024;Lycée général privé La Croix Blanche;Lille;059;Nord;59090;Bondues
2023-2024;0595786U;public;100.6;;100.6;50.650130390462245,2.9987705661289037;Lycée général et technologique Jean Prouvé;Lille;059;Nord;59350;Lille
2023-2024;0620018H;public;;72.1;72.1;50.505304244693114,2.4659506949995373;Lycée professionnel Fernand Degrugillier;Lille;062;Pas-de-Calais;62048;Auchel
2023-2024;0593034C;privé sous contrat;108.7;91.5;96.9;50.27679101047046,3.9759113883221886;Lycée polyvalent privé Théophile Legrand;Lille;059;Nord;59365;Louvroil
2023-2024;0620108F;public;87.9;;87.9;50.431340669712974,2.838310487463382;Lycée général et technologique Condorcet;Lille;062;Pas-de-Calais;62498;Lens
2023-2024;0590264S;public;;74.7;74.7;50.33007745407158,3.4073601769039192;Lycée professionnel Alfred Kastler;Lille;059;Nord;59172;Denain
2023-2024;0624109E;public;105.0;80.5;97.5;50.721837341622255,1.6354399618585729;Lycée polyvalent Giraux Sannier;Lille;062;Pas-de-Calais;62758;Saint-Martin-Boulogne
2023-2024;0596335R;privé sous contrat;129.1;;129.1;50.38642094961313,3.221630608280378;Lycée général privé Institut d'Anchin;Lille;059;Nord;59456;Pecquencourt
2023-2024;0622807P;public;120.4;106.8;112.9;50.51765040985414,1.5959796093389416;Lycée Polyvalent Hôtelier;Lille;062;Pas-de-Calais;62826;Le Touquet-Paris-Plage
2023-2024;0590186G;public;;69.2;69.2;50.695975253712376,3.1800105385844977;Lycée professionnel Turgot - Lycée des Métiers des Services Administratifs et de la Relation Client;Lille;059;Nord;59512;Roubaix
2023-2024;0590258K;public;85.1;;85.1;50.613735331543566,3.075818478526511;Lycée général et technologique Gaston Berger;Lille;059;Nord;59350;Lille
2023-2024;0592832H;public;;82.3;82.3;50.66123029179395,3.0366299853644776;Lycée professionnel Vertes Feuilles - Lycée des métiers de la sécurité et de la prévention;Lille;059;Nord;59527;Saint-André-lez-Lille
2023-2024;0623864N;public;;79.4;79.4;50.43957792762937,2.7964398974781792;Lycée Professionnel Maximilien de Robespierre;Lille;062;Pas-de-Calais;62498;Lens
2023-2024;0590266U;public;;83.1;83.1;50.61713045478125,3.066300687077592;Lycée professionnel César Baggio;Lille;059;Nord;59350;Lille
2023-2024;0595657D;privé sous contrat;117.7;104.4;115.9;50.61771702809541,3.0054096862702373;Lycée polyvalent privé Institut Saint Vincent de Paul - Lycée des Métiers du Bien-Etre, de la Santé et du Social;Lille;059;Nord;59360;Loos
2023-2024;0595856V;public;;77.4;77.4;50.884137343483836,2.453320144518494;Lycée professionnel de L'Yser;Lille;059;Nord;59663;Wormhout
2023-2024;0620187S;public;;77.3;77.3;50.51983685836032,1.6456802116966007;Lycée professionnel Jules Verne;Lille;062;Pas-de-Calais;62318;Etaples
2023-2024;0596281G;privé sous contrat;129.2;;129.2;50.529552607986716,3.2102803291799504;Lycée général privé de Genech;Lille;059;Nord;59258;Genech
2023-2024;0622195Z;privé sous contrat;;95.7;95.7;50.5162169247229,2.138364482704267;Lycée professionnel privé Sainte Marie;Lille;062;Pas-de-Calais;62364;Fruges
2023-2024;0590093F;public;113.8;89.8;107.4;50.599202793596874,2.9873303455090494;Lycée polyvalent Beaupré - Lycée des Métiers de la Plasturgie;Lille;059;Nord;59286;Haubourdin
2023-2024;0590223X;public;95.6;;95.6;50.35766226026153,3.510349990297744;Lycée général et technologique du Hainaut;Lille;059;Nord;59606;Valenciennes
2023-2024;0592964B;privé sous contrat;;84.4;84.4;50.69421574675568,3.181114656257771;Lycée professionnel privé Léonard de Vinci;Lille;059;Nord;59512;Roubaix
2023-2024;0594302F;public;;72.7;72.7;50.344034747827834,3.5551897094746434;Lycée professionnel François Mansart - Lycée des Métiers du Bâtiment;Lille;059;Nord;59383;Marly
2023-2024;0596122J;privé sous contrat;155.6;;155.6;50.6903886081222,3.1213101956118496;Lycée général privé Jeannine Manuel;Lille;059;Nord;59378;Marcq-en-Baroeul
2023-2024;0592967E;privé sous contrat;111.8;102.4;107.4;50.359805483356865,3.5294906529605417;Lycée polyvalent privé La Sagesse;Lille;059;Nord;59606;Valenciennes
2023-2024;0597005U;public;102.7;87.2;98.6;50.644029993116504,2.7044897620264567;Lycée polyvalent du Val de Lys;Lille;059;Nord;59212;Estaires
2023-2024;0593040J;privé sous contrat;130.4;117.0;123.4;50.47972398187029,3.243689498557268;Lycée polyvalent privé Notre-Dame de La Providence;Lille;059;Nord;59449;Orchies
2023-2024;0620006V;public;120.5;;120.5;50.28746924484588,2.7655204011797494;Lycée général et technologique Robespierre;Lille;062;Pas-de-Calais;62041;Arras
2023-2024;0592833J;public;98.8;83.0;85.0;50.54395279699628,3.0259298337521656;Lycée professionnel Les Hauts de Flandre;Lille;059;Nord;59560;Seclin
2023-2024;0620131F;public;;78.6;78.6;50.81692361922001,1.709929392656794;Lycée professionnel des Deux Caps;Lille;062;Pas-de-Calais;62560;Marquise
2023-2024;0590083V;public;94.0;71.7;86.3;50.009882926179806,4.043389599129955;Lycée polyvalent Camille Claudel;Lille;059;Nord;59249;Fourmies
2023-2024;0620027T;public;84.6;65.7;82.1;50.40291014669074,2.8341793271333096;Lycée polyvalent Pablo Picasso;Lille;062;Pas-de-Calais;62065;Avion
2023-2024;0593027V;privé sous contrat;;115.8;115.8;50.62226289891288,3.0573901909225523;Lycée professionnel privé Numérique des Métiers EPIL (Groupe OEC) - Lycée des Métiers de la Construction de l'Environnement et des Energies;Lille;059;Nord;59350;Lille
2023-2024;0593063J;privé sous contrat;;102.9;102.9;50.737396985832,2.7316801850628307;Lycée professionnel privé Sainte Marie;Lille;059;Nord;59043;Bailleul
2023-2024;0593495D;public;;79.3;79.3;50.387338697181924,3.1023402216368394;Lycée Professionnel Paul Langevin;Lille;059;Nord;59654;Waziers
2023-2024;0594653M;public;;73.3;73.3;50.32137090011602,3.3986500991884303;Lycée professionnel André Jurénil;Lille;059;Nord;59172;Denain
2023-2024;0620221D;public;;78.5;78.5;50.70325192965123,1.5879396396462746;Lycée professionnel Professeur Clerc;Lille;062;Pas-de-Calais;62643;Outreau
2023-2024;0590144L;public;;86.8;86.8;50.66796847737482,3.083590286893986;Lycée professionnel Automobile Alfred Mongy;Lille;059;Nord;59378;Marcq-en-Baroeul
2023-2024;0593079B;privé sous contrat;;87.7;87.7;50.29509345627096,4.101360647526703;Lycée professionnel privé Sainte Bernadette;Lille;059;Nord;59324;Jeumont
2023-2024;0597115N;public;140.7;;140.7;50.66219072832191,3.0867629963039365;Ecole européenne Lille Métropole Jacques Delors - niveau collège et lycée;Lille;059;Nord;59378;Marcq-en-Baroeul
2023-2024;0620162P;public;;78.7;78.7;50.7488017288147,2.2789006730571884;Lycée Professionnel du pays de Saint-Omer;Lille;062;Pas-de-Calais;62765;Saint-Omer
2023-2024;0622801H;public;;89.6;89.6;50.49653389940273,2.5295202215615324;Lycée Professionnel Jean Bertin - Lycée des Métiers des Travaux Publics;Lille;062;Pas-de-Calais;62178;Bruay-la-Buissière
2023-2024;0592712C;public;;69.1;69.1;50.29437266338567,4.1143193475766475;Lycée professionnel Louis Armand;Lille;059;Nord;59324;Jeumont
2023-2024;0593136N;privé sous contrat;129.6;;129.6;50.72335632938025,2.5300914913902157;Lycée général et technologique privé Saint Jacques;Lille;059;Nord;59295;Hazebrouck
2023-2024;0620030W;public;;81.1;81.1;50.10453002989584,2.8429104995098187;Lycée professionnel Philippe Auguste;Lille;062;Pas-de-Calais;62080;Bapaume
2023-2024;0620120U;public;107.7;;107.7;50.555379966796544,2.478500646465879;Lycée général et technologique Anatole France;Lille;062;Pas-de-Calais;62516;Lillers
